build_id,sim_build_ok,ran_ok,timed_out,init_called,rotation_set,rotation,panel_w,panel_h,loops,motor_writes,frames_present,distinct_frames,blank_frames,ink_1_boot_idle,ink_2_started,ink_3_mid_meeting,ink_4_threshold,ink_5_extended,ink_6_stopped,note
anthropic_claude-haiku-4-5-20251001_rep1,True,True,0,1,1,1,320,170,5703,4,6,6,0,0.0097,0.0104,0.092,0.5016,0.0089,0.0086,
anthropic_claude-haiku-4-5-20251001_rep2,True,True,0,1,1,1,320,170,5703,4,6,6,2,0.0119,0.0,0.0824,0.4941,0.0,0.0196,
anthropic_claude-opus-5_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.1303,0.2495,0.5999,0.5825,0.5046,0.51,
anthropic_claude-opus-5_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0872,0.2124,0.3603,0.4832,0.5467,0.5463,
deepseek_deepseek-v4-flash_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0064,0.0265,0.0291,0.0469,0.1039,0.0058,
deepseek_deepseek-v4-pro_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0148,0.0143,0.0165,0.0175,0.0195,0.0174,
deepseek_deepseek-v4-pro_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0223,0.0129,0.0147,0.0149,0.0174,0.0185,
groq_llama-3.3-70b-versatile_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0218,0.0188,0.0209,0.0247,0.0268,0.0303,
groq_openai_gpt-oss-120b_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0251,0.0271,0.0248,0.0245,0.0248,0.0248,
groq_openai_gpt-oss-120b_rep2,True,True,0,1,1,1,320,170,5708,0,6,5,0,0.014,0.011,0.0128,0.0144,0.0161,0.0161,
openai_gpt-4.1_rep1,True,True,0,1,1,1,320,170,5703,5,6,6,0,0.0105,0.0106,0.0247,0.1096,0.1215,0.1233,
openai_gpt-4o-mini_rep1,True,True,0,1,1,1,320,170,5561,0,6,5,0,0.1277,0.0695,0.0658,0.0785,0.0792,0.1277,
openai_gpt-4o-mini_rep2,True,True,0,1,1,1,320,170,5708,5548,6,6,1,0.0,0.0259,0.03,0.0353,0.0356,0.0362,
openai_gpt-5.5_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0332,0.0263,0.0376,0.0512,0.0627,0.0603,
openai_gpt-5.5_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.1379,0.1415,0.148,0.1567,0.1544,0.1524,
