build_id,sim_build_ok,ran_ok,timed_out,init_called,rotation_set,rotation,panel_w,panel_h,loops,motor_writes,frames_present,distinct_frames,blank_frames,ink_1_boot_idle,ink_2_started,ink_3_mid_meeting,ink_4_threshold,ink_5_extended,ink_6_stopped,note
anthropic_claude-haiku-4-5-20251001_rep1,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/anthropic_claude-haiku-4-5-20251001_rep1.cpp:181:26: error: 'Font7_GLCD_M' is not a member of 'fonts'
anthropic_claude-haiku-4-5-20251001_rep2,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/anthropic_claude-haiku-4-5-20251001_rep2.cpp:54:23: error: no matching function for call to 'lgfx::v1::LGFX_Sprite::LGFX_Sprite(LGFX&)'
anthropic_claude-opus-5_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.1303,0.2495,0.5999,0.5825,0.5046,0.51,
anthropic_claude-opus-5_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0872,0.2124,0.3603,0.4832,0.5467,0.5463,
deepseek_deepseek-v4-flash_rep2,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/deepseek_deepseek-v4-flash_rep2.cpp:154:15: error: 'using LGFX_Sprite = class lgfx::v1::LGFX_Sprite' {aka 'class lgfx::v1::LGFX_Sprite'} has no member named 'created'; did you mean 'cre
deepseek_deepseek-v4-pro_rep1,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/deepseek_deepseek-v4-pro_rep1.cpp:2:10: fatal error: LGFX.hpp: No such file or directory
deepseek_deepseek-v4-pro_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0256,0.0129,0.0147,0.0149,0.0174,0.0185,
groq_llama-3.1-8b-instant_rep1,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/groq_llama-3.1-8b-instant_rep1.cpp:12:1: error: 'LGFX' does not name a type
groq_llama-3.1-8b-instant_rep2,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/groq_llama-3.1-8b-instant_rep2.cpp:14:1: error: 'LGFX' does not name a type
groq_llama-3.3-70b-versatile_rep1,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/groq_llama-3.3-70b-versatile_rep1.cpp:54:14: error: expected ';' before ')' token
groq_llama-3.3-70b-versatile_rep2,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/groq_llama-3.3-70b-versatile_rep2.cpp:80:5: error: 'dtostrf' was not declared in this scope
groq_openai_gpt-oss-120b_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0251,0.0271,0.0248,0.0245,0.0248,0.0248,
groq_openai_gpt-oss-120b_rep2,True,True,0,1,1,1,320,170,5708,0,6,5,0,0.014,0.011,0.0128,0.0144,0.0161,0.0161,
openai_gpt-4.1_rep1,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/openai_gpt-4.1_rep1.cpp:79:7: error: 'motorPulse' was not declared in this scope
openai_gpt-4.1_rep2,False,False,,,,,,,,,0,0,0,,,,,,,A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/openai_gpt-4.1_rep2.cpp:224:7: error: 'class LGFX' has no member named 'pushSprite'
openai_gpt-4o-mini_rep1,True,True,0,1,1,1,320,170,5561,0,6,5,0,0.1277,0.0695,0.0658,0.0785,0.0792,0.1277,
openai_gpt-4o-mini_rep2,False,False,,,,,,,,,0,0,0,,,,,,,"A:/bridge/oldowan-ui-judge-microstudy/results/prepared_firstpass/openai_gpt-4o-mini_rep2.cpp:77:21: error: no matching function for call to 'LGFX::setTextColor(int, int, int)'"
openai_gpt-5.5_rep1,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.0332,0.0263,0.0376,0.0512,0.0627,0.0603,
openai_gpt-5.5_rep2,True,True,0,1,1,1,320,170,5708,0,6,6,0,0.1379,0.1415,0.148,0.1567,0.1544,0.1524,
